display_name,user_principal_name,department,license_count,has_license
Alex Carter,acarter@northwinditlab6outlook.onmicrosoft.com,Security,0,False
IT Administrator,admin@northwinditlab6outlook.onmicrosoft.com,IT,0,False
Amanda Garcia,agarcia@northwinditlab6outlook.onmicrosoft.com,Sales,0,False
Brian Scott,bscott@northwinditlab6outlook.onmicrosoft.com,Sales,0,False
Emma Johnson,CEO@northwinditlab6outlook.onmicrosoft.com,Executive,0,False
Chris Wilson,cwilson@northwinditlab6outlook.onmicrosoft.com,Sales,0,False
David Miller,dmiller@northwinditlab6outlook.onmicrosoft.com,Finance,0,False
Daniel Rodriguez,drodriguez@northwinditlab6outlook.onmicrosoft.com,IT,0,False
Ethan Brooks,ebrooks@northwinditlab6outlook.onmicrosoft.com,IT,0,False
Eric Reed,ereed@northwinditlab6outlook.onmicrosoft.com,Operations,0,False
Grace Hall,ghall@northwinditlab6outlook.onmicrosoft.com,HR,0,False
Jennifer Lee,jlee@northwinditlab6outlook.onmicrosoft.com,Finance,0,False
James Patel,jpatel@northwinditlab6outlook.onmicrosoft.com,IT,0,False
Jason Walker,jwalker@northwinditlab6outlook.onmicrosoft.com,Operations,0,False
Kevin Brown,kbrown@northwinditlab6outlook.onmicrosoft.com,Finance,0,False
Karen Davis,kdavis@northwinditlab6outlook.onmicrosoft.com,HR,0,False
Lisa Thompson,lthompson@northwinditlab6outlook.onmicrosoft.com,HR,0,False
Michael Chen,mchen@northwinditlab6outlook.onmicrosoft.com,IT,0,False
Megan Cooper,mcooper@northwinditlab6outlook.onmicrosoft.com,Sales,0,False
Mark Harris,mharris@northwinditlab6outlook.onmicrosoft.com,Operations,0,False
Uwais Watkins,northwinditlab6_outlook.com#EXT#@northwinditlab6outlook.onmicrosoft.com,,0,False
Nathan Price,nprice@northwinditlab6outlook.onmicrosoft.com,Security,0,False
Nicole Young,nyoung@northwinditlab6outlook.onmicrosoft.com,Operations,0,False
Olivia Martinez,omartinez@northwinditlab6outlook.onmicrosoft.com,IT,0,False
Rachel Adams,radams@northwinditlab6outlook.onmicrosoft.com,Sales,0,False
Ryan Moore,rmoore@northwinditlab6outlook.onmicrosoft.com,Security,0,False
Robert White,rwhite@northwinditlab6outlook.onmicrosoft.com,HR,0,False
Sarah Kim,skim@northwinditlab6outlook.onmicrosoft.com,IT,0,False
Test User 01,test.user01@northwinditlab6outlook.onmicrosoft.com,IT,0,False
Thomas King,tking@northwinditlab6outlook.onmicrosoft.com,Finance,0,False
