displayName,userPrincipalName,jobTitle,department,companyName,officeLocation,accountEnabled
Alex Carter,acarter@northwinditlab6outlook.onmicrosoft.com,Security Analyst,Security,UWatkins IT Group,Manhattan HQ,True
IT Administrator,admin@northwinditlab6outlook.onmicrosoft.com,Senior Systems Administrator,IT,UWatkins IT Group,New York,True
Amanda Garcia,agarcia@northwinditlab6outlook.onmicrosoft.com,Account Executive,Sales,UWatkins IT Group,Manhattan HQ,True
Brian Scott,bscott@northwinditlab6outlook.onmicrosoft.com,Sales Representative,Sales,UWatkins IT Group,Manhattan HQ,True
Emma Johnson,CEO@northwinditlab6outlook.onmicrosoft.com,Chief Executive Officer,Executive,UWatkins IT Group,Manhattan HQ,True
Chris Wilson,cwilson@northwinditlab6outlook.onmicrosoft.com,Sales Manager,Sales,UWatkins IT Group,Manhattan HQ,True
David Miller,dmiller@northwinditlab6outlook.onmicrosoft.com,Finance Manager,Finance,UWatkins IT Group,Manhattan HQ,True
Daniel Rodriguez,drodriguez@northwinditlab6outlook.onmicrosoft.com,Senior Systems Administrator,IT,UWatkins IT Group,Manhattan HQ,True
Ethan Brooks,ebrooks@northwinditlab6outlook.onmicrosoft.com,Junior Systems Administrator,IT,UWatkins IT Group,Manhattan HQ,True
Eric Reed,ereed@northwinditlab6outlook.onmicrosoft.com,Operations Assistant,Operations,,Manhattan HQ,False
Grace Hall,ghall@northwinditlab6outlook.onmicrosoft.com,HR Coordinator,HR,,Manhattan HQ,False
Jennifer Lee,jlee@northwinditlab6outlook.onmicrosoft.com,Accountant,Finance,UWatkins IT Group,Manhattan HQ,True
James Patel,jpatel@northwinditlab6outlook.onmicrosoft.com,Help Desk Technician,IT,UWatkins IT Group,Manhattan HQ,True
Jason Walker,jwalker@northwinditlab6outlook.onmicrosoft.com,Logistics Coordinator,Operations,UWatkins IT Group,Manhattan HQ,True
Kevin Brown,kbrown@northwinditlab6outlook.onmicrosoft.com,Financial Analyst,Finance,UWatkins IT Group,Manhattan HQ,True
Karen Davis,kdavis@northwinditlab6outlook.onmicrosoft.com,HR Specialist,HR,UWatkins IT Group,Manhattan HQ,True
Lisa Thompson,lthompson@northwinditlab6outlook.onmicrosoft.com,HR Manager,HR,UWatkins IT Group,Manhattan HQ,True
Michael Chen,mchen@northwinditlab6outlook.onmicrosoft.com,IT Director,IT,UWatkins IT Group,Manhattan HQ,True
Megan Cooper,mcooper@northwinditlab6outlook.onmicrosoft.com,Sales Development Representative,Sales,,Manhattan HQ,False
Mark Harris,mharris@northwinditlab6outlook.onmicrosoft.com,Operations Manager,Operations,UWatkins IT Group,Manhattan hq,True
Uwais Watkins,northwinditlab6_outlook.com#EXT#@northwinditlab6outlook.onmicrosoft.com,,,,,True
Nathan Price,nprice@northwinditlab6outlook.onmicrosoft.com,Junior Security Analyst,Security,,Manhattan HQ,False
Nicole Young,nyoung@northwinditlab6outlook.onmicrosoft.com,Operations Coordinator,Operations,UWatkins IT Group,Manhattan HQ,True
Olivia Martinez,omartinez@northwinditlab6outlook.onmicrosoft.com,IT Support Specialist,IT,UWatkins IT Group,Manhattan HQ,True
Rachel Adams,radams@northwinditlab6outlook.onmicrosoft.com,Sales Representative,Sales,UWatkins IT Group,Manhattan HQ,True
Ryan Moore,rmoore@northwinditlab6outlook.onmicrosoft.com,Security Engineer,Security,UWatkins IT Group,Manhattan HQ,True
Robert White,rwhite@northwinditlab6outlook.onmicrosoft.com,Recruiter,HR,UWatkins IT Group,Manhattan HQ,True
Sarah Kim,skim@northwinditlab6outlook.onmicrosoft.com,Cloud Administrator,IT,UWatkins IT Group,Manhattan HQ,True
Test User 01,test.user01@northwinditlab6outlook.onmicrosoft.com,Systems Administrator II,IT,UWatkins IT Group,Chicago HQ,False
Thomas King,tking@northwinditlab6outlook.onmicrosoft.com,Junior Accountant,Finance,,Manhattan HQ,False
